'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:06.029',0.456,0.671,0.216,-0.564,0.120,0.444,0.238,0.035,0.581,0.320,-0.141,-0.100,-0.114,0.311,-0.247
'0:06.030',0.435,0.661,0.227,-0.548,0.104,0.444,0.243,0.037,0.580,0.316,-0.147,-0.107,-0.116,0.308,-0.240
'0:06.031',0.429,0.654,0.226,-0.542,0.102,0.440,0.238,0.034,0.583,0.320,-0.145,-0.106,-0.112,0.307,-0.240
'0:06.032',0.432,0.653,0.222,-0.543,0.105,0.438,0.230,0.028,0.578,0.315,-0.150,-0.117,-0.120,0.305,-0.241
'0:06.033',0.447,0.667,0.221,-0.557,0.113,0.444,0.240,0.036,0.581,0.316,-0.147,-0.111,-0.117,0.325,-0.247
'0:06.034',0.453,0.669,0.217,-0.561,0.118,0.443,0.241,0.041,0.585,0.319,-0.146,-0.104,-0.110,0.309,-0.246
'0:06.035',0.451,0.661,0.211,-0.556,0.119,0.436,0.236,0.035,0.584,0.316,-0.149,-0.104,-0.112,0.303,-0.245
'0:06.036',0.461,0.678,0.217,-0.570,0.121,0.448,0.242,0.043,0.589,0.320,-0.142,-0.100,-0.107,0.315,-0.250
'0:06.037',0.447,0.682,0.236,-0.564,0.105,0.459,0.240,0.038,0.590,0.321,-0.143,-0.105,-0.117,0.311,-0.251
'0:06.038',0.438,0.669,0.233,-0.553,0.102,0.452,0.238,0.034,0.592,0.322,-0.143,-0.101,-0.112,0.313,-0.248
'0:06.039',0.449,0.681,0.233,-0.565,0.108,0.457,0.246,0.048,0.600,0.327,-0.138,-0.099,-0.107,0.324,-0.252
'0:06.040',0.445,0.676,0.232,-0.560,0.106,0.454,0.244,0.041,0.597,0.323,-0.143,-0.108,-0.119,0.328,-0.251
'0:06.041',0.428,0.660,0.233,-0.544,0.098,0.447,0.240,0.037,0.593,0.319,-0.144,-0.108,-0.115,0.328,-0.245
'0:06.042',0.441,0.664,0.224,-0.552,0.108,0.445,0.242,0.046,0.596,0.325,-0.141,-0.102,-0.106,0.312,-0.246
'0:06.043',0.457,0.669,0.213,-0.563,0.121,0.442,0.240,0.046,0.602,0.331,-0.135,-0.098,-0.104,0.309,-0.251
'0:06.044',0.448,0.667,0.220,-0.557,0.114,0.443,0.243,0.049,0.604,0.333,-0.131,-0.097,-0.105,0.316,-0.252
'0:06.045',0.448,0.670,0.223,-0.559,0.113,0.447,0.245,0.049,0.602,0.331,-0.135,-0.104,-0.109,0.320,-0.255
'0:06.046',0.447,0.666,0.220,-0.556,0.114,0.443,0.243,0.043,0.602,0.331,-0.137,-0.107,-0.108,0.320,-0.255
'0:06.047',0.441,0.661,0.222,-0.551,0.110,0.442,0.244,0.044,0.601,0.331,-0.138,-0.106,-0.108,0.305,-0.252
'0:06.048',0.448,0.670,0.224,-0.559,0.112,0.447,0.246,0.050,0.602,0.331,-0.138,-0.102,-0.105,0.315,-0.253
'0:06.049',0.451,0.672,0.222,-0.561,0.114,0.447,0.247,0.047,0.603,0.331,-0.136,-0.100,-0.100,0.323,-0.251
'0:06.050',0.451,0.674,0.224,-0.562,0.114,0.449,0.240,0.046,0.601,0.330,-0.139,-0.109,-0.105,0.318,-0.253
'0:06.051',0.454,0.673,0.221,-0.564,0.117,0.447,0.242,0.042,0.601,0.328,-0.140,-0.109,-0.110,0.317,-0.256
'0:06.052',0.464,0.680,0.217,-0.572,0.123,0.449,0.244,0.040,0.605,0.333,-0.134,-0.099,-0.103,0.316,-0.257
'0:06.053',0.455,0.673,0.219,-0.564,0.118,0.446,0.236,0.040,0.601,0.330,-0.139,-0.105,-0.102,0.317,-0.254
'0:06.054',0.432,0.663,0.232,-0.547,0.101,0.447,0.237,0.038,0.598,0.330,-0.140,-0.114,-0.108,0.318,-0.251
'0:06.055',0.448,0.675,0.228,-0.561,0.110,0.452,0.234,0.043,0.607,0.337,-0.130,-0.103,-0.105,0.309,-0.255
'0:06.056',0.457,0.679,0.223,-0.568,0.117,0.451,0.238,0.042,0.608,0.337,-0.130,-0.105,-0.104,0.309,-0.256
'0:06.057',0.444,0.674,0.231,-0.559,0.107,0.452,0.243,0.044,0.607,0.337,-0.133,-0.113,-0.108,0.321,-0.258
'0:06.058',0.442,0.668,0.227,-0.555,0.107,0.448,0.238,0.046,0.610,0.340,-0.127,-0.100,-0.097,0.315,-0.259
'0:06.059',0.454,0.678,0.224,-0.566,0.115,0.451,0.242,0.046,0.611,0.340,-0.124,-0.092,-0.091,0.315,-0.257
'0:06.060',0.463,0.690,0.228,-0.576,0.118,0.459,0.251,0.054,0.615,0.344,-0.122,-0.096,-0.099,0.318,-0.259
'0:06.061',0.477,0.691,0.214,-0.584,0.132,0.453,0.243,0.051,0.616,0.344,-0.121,-0.100,-0.099,0.304,-0.257
'0:06.062',0.474,0.684,0.210,-0.580,0.132,0.448,0.242,0.050,0.615,0.344,-0.122,-0.098,-0.099,0.310,-0.263
'0:06.063',0.433,0.665,0.233,-0.549,0.100,0.450,0.252,0.051,0.617,0.344,-0.120,-0.095,-0.102,0.325,-0.270
'0:06.064',0.426,0.650,0.225,-0.538,0.101,0.438,0.243,0.045,0.606,0.331,-0.132,-0.108,-0.102,0.315,-0.260
'0:06.065',0.435,0.656,0.222,-0.546,0.106,0.440,0.238,0.043,0.605,0.330,-0.138,-0.111,-0.103,0.309,-0.260
'0:06.066',0.428,0.655,0.227,-0.541,0.101,0.441,0.235,0.041,0.606,0.332,-0.136,-0.107,-0.106,0.303,-0.260
'0:06.067',0.430,0.653,0.224,-0.541,0.103,0.439,0.243,0.048,0.608,0.333,-0.135,-0.103,-0.104,0.306,-0.259
'0:06.068',0.447,0.668,0.222,-0.558,0.113,0.445,0.244,0.051,0.613,0.334,-0.133,-0.103,-0.112,0.310,-0.266
'0:06.069',0.449,0.663,0.214,-0.556,0.117,0.439,0.238,0.045,0.611,0.332,-0.135,-0.106,-0.107,0.320,-0.262
'0:06.070',0.441,0.665,0.225,-0.553,0.108,0.445,0.244,0.053,0.616,0.338,-0.130,-0.101,-0.091,0.322,-0.256
'0:06.071',0.449,0.678,0.230,-0.564,0.110,0.454,0.247,0.051,0.614,0.338,-0.128,-0.092,-0.099,0.313,-0.261
'0:06.072',0.452,0.675,0.224,-0.563,0.114,0.449,0.245,0.044,0.613,0.339,-0.130,-0.099,-0.110,0.310,-0.259
'0:06.073',0.448,0.673,0.226,-0.560,0.111,0.450,0.240,0.048,0.615,0.339,-0.129,-0.105,-0.106,0.309,-0.256
'0:06.074',0.434,0.667,0.234,-0.550,0.101,0.450,0.249,0.048,0.612,0.338,-0.128,-0.100,-0.102,0.320,-0.261
'0:06.075',0.419,0.648,0.230,-0.534,0.095,0.439,0.246,0.045,0.606,0.335,-0.130,-0.098,-0.096,0.308,-0.254
'0:06.076',0.441,0.668,0.229,-0.554,0.106,0.449,0.246,0.050,0.615,0.343,-0.120,-0.085,-0.089,0.312,-0.260
'0:06.077',0.464,0.692,0.229,-0.578,0.117,0.461,0.252,0.057,0.623,0.348,-0.117,-0.089,-0.103,0.316,-0.268
'0:06.078',0.443,0.667,0.225,-0.555,0.109,0.446,0.236,0.048,0.610,0.336,-0.129,-0.103,-0.102,0.308,-0.257
'0:06.079',0.432,0.659,0.228,-0.546,0.102,0.444,0.237,0.044,0.606,0.335,-0.129,-0.100,-0.090,0.312,-0.256
'0:06.080',0.435,0.667,0.233,-0.551,0.101,0.450,0.241,0.048,0.610,0.336,-0.127,-0.101,-0.098,0.319,-0.262
'0:06.081',0.449,0.675,0.227,-0.562,0.111,0.451,0.244,0.051,0.615,0.340,-0.123,-0.095,-0.095,0.326,-0.262
'0:06.082',0.461,0.688,0.228,-0.575,0.117,0.458,0.248,0.054,0.616,0.344,-0.120,-0.093,-0.098,0.314,-0.264
'0:06.083',0.450,0.679,0.230,-0.565,0.110,0.455,0.237,0.040,0.608,0.339,-0.123,-0.101,-0.103,0.303,-0.266
'0:06.084',0.457,0.681,0.225,-0.569,0.117,0.453,0.245,0.048,0.614,0.344,-0.118,-0.095,-0.096,0.306,-0.265
'0:06.085',0.455,0.684,0.229,-0.570,0.113,0.457,0.254,0.056,0.618,0.345,-0.119,-0.100,-0.099,0.315,-0.268
'0:06.086',0.449,0.670,0.223,-0.559,0.113,0.447,0.222,0.037,0.611,0.341,-0.124,-0.102,-0.097,0.303,-0.263
'0:06.087',0.442,0.667,0.226,-0.554,0.107,0.447,0.234,0.046,0.614,0.346,-0.120,-0.099,-0.095,0.300,-0.263
'0:06.088',0.423,0.663,0.240,-0.543,0.091,0.452,0.259,0.052,0.615,0.345,-0.119,-0.103,-0.102,0.324,-0.265
'0:06.089',0.432,0.664,0.233,-0.548,0.100,0.449,0.247,0.050,0.614,0.346,-0.117,-0.095,-0.091,0.323,-0.259
'0:06.090',0.448,0.672,0.226,-0.560,0.111,0.449,0.244,0.047,0.614,0.346,-0.115,-0.093,-0.089,0.316,-0.264
'0:06.091',0.448,0.677,0.230,-0.562,0.109,0.454,0.239,0.040,0.610,0.345,-0.118,-0.099,-0.097,0.314,-0.261
'0:06.092',0.457,0.680,0.224,-0.569,0.116,0.452,0.241,0.044,0.613,0.350,-0.115,-0.094,-0.091,0.316,-0.261
'0:06.093',0.451,0.682,0.232,-0.567,0.110,0.457,0.245,0.049,0.613,0.351,-0.113,-0.095,-0.088,0.323,-0.265
'0:06.094',0.445,0.683,0.239,-0.564,0.103,0.461,0.249,0.052,0.613,0.350,-0.114,-0.096,-0.092,0.321,-0.265
'0:06.095',0.452,0.681,0.230,-0.567,0.111,0.456,0.248,0.049,0.614,0.347,-0.114,-0.094,-0.093,0.321,-0.267
'0:06.096',0.450,0.682,0.234,-0.567,0.108,0.458,0.243,0.047,0.609,0.344,-0.118,-0.103,-0.095,0.327,-0.261
'0:06.097',0.451,0.682,0.232,-0.567,0.110,0.457,0.234,0.034,0.608,0.343,-0.116,-0.097,-0.086,0.324,-0.260
'0:06.098',0.451,0.681,0.231,-0.566,0.111,0.456,0.234,0.035,0.609,0.343,-0.114,-0.091,-0.087,0.314,-0.263
'0:06.099',0.456,0.684,0.229,-0.571,0.114,0.457,0.242,0.051,0.612,0.341,-0.116,-0.101,-0.092,0.326,-0.265
'0:06.100',0.461,0.685,0.224,-0.573,0.118,0.455,0.242,0.048,0.613,0.340,-0.116,-0.099,-0.089,0.336,-0.267
'0:06.101',0.444,0.675,0.233,-0.559,0.105,0.454,0.241,0.042,0.608,0.336,-0.119,-0.097,-0.093,0.322,-0.264
'0:06.102',0.437,0.675,0.239,-0.556,0.099,0.458,0.241,0.044,0.609,0.337,-0.118,-0.093,-0.096,0.315,-0.263
'0:06.103',0.440,0.679,0.240,-0.559,0.100,0.460,0.247,0.051,0.611,0.338,-0.120,-0.100,-0.102,0.323,-0.264
'0:06.104',0.435,0.669,0.234,-0.552,0.101,0.452,0.241,0.040,0.606,0.333,-0.124,-0.106,-0.105,0.321,-0.262
'0:06.105',0.455,0.688,0.234,-0.572,0.111,0.461,0.245,0.045,0.608,0.335,-0.122,-0.098,-0.102,0.321,-0.265
'0:06.106',0.459,0.685,0.228,-0.572,0.116,0.457,0.247,0.049,0.609,0.336,-0.121,-0.096,-0.097,0.317,-0.257
'0:06.107',0.441,0.668,0.228,-0.554,0.106,0.449,0.240,0.043,0.609,0.336,-0.121,-0.095,-0.096,0.305,-0.254
'0:06.108',0.436,0.675,0.239,-0.555,0.099,0.457,0.238,0.036,0.609,0.337,-0.120,-0.092,-0.103,0.312,-0.264
'0:06.109',0.445,0.676,0.232,-0.560,0.106,0.454,0.245,0.042,0.611,0.341,-0.120,-0.094,-0.104,0.316,-0.266
'0:06.110',0.453,0.684,0.232,-0.569,0.111,0.458,0.249,0.049,0.614,0.342,-0.118,-0.091,-0.096,0.318,-0.260
'0:06.111',0.453,0.685,0.233,-0.569,0.110,0.459,0.241,0.039,0.607,0.338,-0.121,-0.088,-0.089,0.314,-0.255
'0:06.112',0.457,0.674,0.218,-0.566,0.119,0.447,0.248,0.052,0.608,0.336,-0.124,-0.095,-0.090,0.304,-0.254
'0:06.113',0.446,0.668,0.223,-0.557,0.111,0.446,0.242,0.044,0.603,0.330,-0.129,-0.097,-0.096,0.306,-0.254
'0:06.114',0.436,0.672,0.236,-0.554,0.101,0.454,0.242,0.044,0.602,0.332,-0.128,-0.095,-0.101,0.314,-0.260
'0:06.115',0.440,0.663,0.224,-0.551,0.108,0.444,0.239,0.038,0.602,0.332,-0.126,-0.090,-0.096,0.310,-0.259
'0:06.116',0.453,0.671,0.219,-0.562,0.117,0.445,0.232,0.029,0.596,0.330,-0.125,-0.087,-0.089,0.314,-0.257
'0:06.117',0.463,0.682,0.220,-0.573,0.121,0.451,0.228,0.036,0.599,0.331,-0.122,-0.086,-0.084,0.315,-0.256
'0:06.118',0.457,0.673,0.216,-0.565,0.120,0.445,0.226,0.033,0.598,0.331,-0.123,-0.093,-0.089,0.308,-0.260
'0:06.119',0.457,0.669,0.213,-0.563,0.122,0.441,0.243,0.043,0.600,0.329,-0.129,-0.102,-0.099,0.309,-0.265
'0:06.120',0.444,0.665,0.222,-0.554,0.111,0.444,0.247,0.044,0.603,0.333,-0.126,-0.094,-0.098,0.307,-0.263
'0:06.121',0.442,0.664,0.223,-0.553,0.109,0.444,0.237,0.042,0.598,0.333,-0.124,-0.096,-0.094,0.299,-0.256
'0:06.122',0.451,0.671,0.221,-0.560,0.115,0.446,0.211,0.024,0.593,0.330,-0.120,-0.082,-0.081,0.290,-0.253
'0:06.123',0.457,0.682,0.226,-0.569,0.115,0.454,0.228,0.035,0.604,0.339,-0.113,-0.077,-0.083,0.302,-0.263
'0:06.124',0.464,0.676,0.213,-0.571,0.126,0.445,0.255,0.053,0.606,0.335,-0.120,-0.096,-0.090,0.306,-0.265
'0:06.125',0.458,0.672,0.215,-0.565,0.121,0.444,0.238,0.036,0.596,0.329,-0.127,-0.099,-0.096,0.310,-0.262
'0:06.126',0.443,0.669,0.227,-0.556,0.108,0.448,0.236,0.036,0.599,0.333,-0.122,-0.100,-0.102,0.322,-0.267
'0:06.127',0.434,0.662,0.228,-0.548,0.103,0.445,0.233,0.038,0.603,0.335,-0.118,-0.093,-0.090,0.325,-0.259
'0:06.128',0.463,0.671,0.209,-0.567,0.127,0.440,0.234,0.040,0.604,0.334,-0.119,-0.088,-0.082,0.317,-0.251
'0:06.129',0.480,0.683,0.203,-0.582,0.139,0.444,0.240,0.043,0.604,0.335,-0.117,-0.087,-0.086,0.314,-0.256
'0:06.130',0.455,0.680,0.226,-0.568,0.115,0.453,0.244,0.045,0.605,0.336,-0.115,-0.086,-0.092,0.319,-0.255
'0:06.131',0.448,0.675,0.228,-0.561,0.110,0.452,0.250,0.052,0.606,0.335,-0.117,-0.086,-0.091,0.310,-0.251
'0:06.132',0.440,0.660,0.221,-0.550,0.110,0.441,0.239,0.042,0.598,0.328,-0.125,-0.095,-0.093,0.305,-0.251
'0:06.133',0.432,0.648,0.215,-0.540,0.108,0.432,0.236,0.035,0.592,0.323,-0.128,-0.099,-0.091,0.315,-0.250
'0:06.134',0.450,0.658,0.209,-0.554,0.120,0.434,0.234,0.034,0.591,0.320,-0.129,-0.097,-0.094,0.316,-0.255
'0:06.135',0.453,0.665,0.212,-0.559,0.120,0.439,0.238,0.036,0.592,0.320,-0.130,-0.105,-0.108,0.309,-0.256
'0:06.136',0.453,0.665,0.213,-0.559,0.120,0.439,0.239,0.040,0.592,0.321,-0.131,-0.102,-0.098,0.313,-0.247
'0:06.137',0.456,0.660,0.205,-0.558,0.125,0.433,0.230,0.034,0.590,0.319,-0.136,-0.093,-0.086,0.310,-0.239
'0:06.138',0.453,0.660,0.207,-0.556,0.123,0.433,0.228,0.033,0.587,0.319,-0.136,-0.097,-0.094,0.309,-0.243
'0:06.139',0.452,0.670,0.219,-0.561,0.117,0.445,0.233,0.039,0.593,0.327,-0.124,-0.080,-0.085,0.314,-0.249
'0:06.140',0.453,0.672,0.220,-0.562,0.117,0.446,0.244,0.042,0.597,0.330,-0.122,-0.082,-0.088,0.306,-0.249
'0:06.141',0.455,0.661,0.207,-0.558,0.124,0.434,0.233,0.035,0.587,0.320,-0.133,-0.105,-0.105,0.301,-0.248
'0:06.142',0.448,0.656,0.208,-0.552,0.120,0.432,0.230,0.035,0.586,0.320,-0.133,-0.103,-0.102,0.309,-0.246
'0:06.143',0.446,0.661,0.216,-0.554,0.115,0.439,0.240,0.040,0.591,0.327,-0.122,-0.097,-0.110,0.306,-0.258
'0:06.144',0.450,0.659,0.210,-0.554,0.120,0.434,0.234,0.036,0.590,0.325,-0.122,-0.099,-0.107,0.302,-0.254
'0:06.145',0.466,0.663,0.199,-0.565,0.134,0.431,0.229,0.034,0.590,0.326,-0.123,-0.101,-0.083,0.307,-0.244
'0:06.146',0.459,0.659,0.202,-0.559,0.129,0.430,0.231,0.036,0.592,0.328,-0.122,-0.099,-0.089,0.308,-0.252
'0:06.147',0.436,0.643,0.207,-0.539,0.115,0.425,0.232,0.032,0.586,0.322,-0.131,-0.107,-0.101,0.305,-0.248
'0:06.148',0.450,0.658,0.210,-0.554,0.119,0.434,0.234,0.037,0.589,0.325,-0.127,-0.100,-0.090,0.298,-0.248
'0:06.149',0.449,0.665,0.217,-0.557,0.116,0.442,0.234,0.029,0.588,0.323,-0.129,-0.099,-0.097,0.295,-0.251
'0:06.150',0.454,0.669,0.216,-0.561,0.118,0.444,0.221,0.022,0.584,0.320,-0.131,-0.105,-0.099,0.296,-0.245
'0:06.151',0.466,0.679,0.214,-0.573,0.126,0.447,0.225,0.035,0.584,0.319,-0.132,-0.105,-0.097,0.307,-0.248
'0:06.152',0.458,0.669,0.212,-0.564,0.123,0.441,0.242,0.035,0.582,0.315,-0.136,-0.106,-0.099,0.305,-0.249
'0:06.153',0.454,0.662,0.209,-0.558,0.122,0.436,0.237,0.031,0.585,0.319,-0.131,-0.101,-0.093,0.308,-0.249
'0:06.154',0.450,0.661,0.212,-0.555,0.118,0.437,0.227,0.026,0.582,0.317,-0.132,-0.100,-0.094,0.323,-0.255
'0:06.155',0.451,0.657,0.206,-0.554,0.122,0.432,0.225,0.025,0.579,0.315,-0.134,-0.097,-0.088,0.306,-0.249
'0:06.156',0.465,0.667,0.203,-0.566,0.132,0.434,0.218,0.019,0.576,0.314,-0.139,-0.104,-0.088,0.288,-0.246
'0:06.157',0.464,0.678,0.215,-0.571,0.124,0.447,0.233,0.032,0.582,0.319,-0.133,-0.101,-0.089,0.297,-0.254
'0:06.158',0.453,0.675,0.223,-0.564,0.115,0.449,0.244,0.039,0.586,0.323,-0.130,-0.092,-0.089,0.321,-0.260
'0:06.159',0.455,0.667,0.214,-0.561,0.120,0.441,0.231,0.030,0.583,0.318,-0.136,-0.101,-0.090,0.318,-0.249
'0:06.160',0.447,0.662,0.216,-0.554,0.115,0.440,0.231,0.028,0.579,0.315,-0.138,-0.103,-0.091,0.304,-0.245
'0:06.161',0.451,0.666,0.216,-0.558,0.117,0.441,0.228,0.022,0.576,0.312,-0.141,-0.103,-0.095,0.306,-0.246
'0:06.162',0.473,0.676,0.203,-0.575,0.135,0.440,0.225,0.028,0.581,0.315,-0.139,-0.102,-0.090,0.306,-0.246
'0:06.163',0.475,0.683,0.208,-0.579,0.134,0.446,0.236,0.035,0.589,0.322,-0.130,-0.095,-0.090,0.307,-0.255
'0:06.164',0.453,0.669,0.216,-0.561,0.118,0.443,0.238,0.032,0.588,0.322,-0.132,-0.098,-0.090,0.308,-0.251
'0:06.165',0.454,0.667,0.213,-0.560,0.120,0.440,0.226,0.028,0.584,0.318,-0.138,-0.102,-0.087,0.306,-0.244
'0:06.166',0.465,0.670,0.206,-0.568,0.129,0.439,0.232,0.035,0.587,0.322,-0.136,-0.102,-0.092,0.294,-0.242
'0:06.167',0.451,0.660,0.210,-0.556,0.120,0.435,0.232,0.029,0.582,0.320,-0.139,-0.102,-0.097,0.289,-0.242
'0:06.168',0.449,0.666,0.218,-0.557,0.115,0.442,0.231,0.029,0.584,0.320,-0.137,-0.098,-0.096,0.298,-0.250
'0:06.169',0.447,0.661,0.214,-0.554,0.116,0.438,0.237,0.035,0.585,0.317,-0.141,-0.109,-0.108,0.313,-0.254
'0:06.170',0.443,0.654,0.212,-0.548,0.116,0.433,0.228,0.028,0.581,0.315,-0.145,-0.111,-0.105,0.321,-0.252
'0:06.171',0.445,0.654,0.211,-0.549,0.117,0.433,0.225,0.023,0.579,0.314,-0.145,-0.109,-0.099,0.311,-0.247
'0:06.172',0.445,0.646,0.202,-0.545,0.121,0.424,0.226,0.019,0.575,0.309,-0.152,-0.114,-0.103,0.303,-0.245
'0:06.173',0.444,0.645,0.203,-0.544,0.120,0.424,0.228,0.023,0.579,0.315,-0.148,-0.108,-0.099,0.298,-0.240
'0:06.174',0.457,0.664,0.207,-0.561,0.125,0.436,0.236,0.026,0.582,0.320,-0.144,-0.105,-0.098,0.314,-0.242
'0:06.175',0.450,0.666,0.218,-0.558,0.116,0.442,0.234,0.031,0.587,0.326,-0.136,-0.094,-0.089,0.326,-0.247
'0:06.176',0.452,0.669,0.217,-0.560,0.117,0.444,0.233,0.042,0.590,0.325,-0.133,-0.092,-0.086,0.315,-0.242
'0:06.177',0.465,0.672,0.208,-0.569,0.129,0.440,0.234,0.034,0.579,0.316,-0.143,-0.105,-0.095,0.320,-0.241
'0:06.178',0.461,0.668,0.208,-0.565,0.127,0.438,0.233,0.028,0.577,0.314,-0.145,-0.104,-0.103,0.317,-0.246
'0:06.179',0.479,0.678,0.199,-0.579,0.140,0.439,0.231,0.035,0.586,0.320,-0.135,-0.096,-0.092,0.303,-0.243
'0:06.180',0.465,0.661,0.197,-0.564,0.135,0.429,0.229,0.031,0.583,0.318,-0.139,-0.101,-0.086,0.297,-0.234
'0:06.181',0.456,0.656,0.202,-0.556,0.127,0.429,0.234,0.026,0.580,0.316,-0.144,-0.105,-0.099,0.303,-0.243
'0:06.182',0.439,0.639,0.201,-0.539,0.119,0.420,0.225,0.023,0.576,0.312,-0.147,-0.110,-0.099,0.306,-0.247
'0:06.183',0.432,0.638,0.207,-0.535,0.113,0.423,0.225,0.026,0.578,0.315,-0.146,-0.106,-0.097,0.310,-0.246
'0:06.184',0.453,0.664,0.212,-0.558,0.120,0.438,0.230,0.029,0.585,0.323,-0.135,-0.090,-0.096,0.315,-0.247
'0:06.185',0.438,0.649,0.212,-0.543,0.113,0.430,0.229,0.029,0.576,0.312,-0.142,-0.101,-0.095,0.296,-0.243
'0:06.186',0.446,0.651,0.205,-0.549,0.120,0.428,0.228,0.022,0.575,0.312,-0.141,-0.096,-0.086,0.293,-0.242
'0:06.187',0.456,0.659,0.204,-0.557,0.126,0.432,0.230,0.026,0.580,0.320,-0.136,-0.096,-0.091,0.303,-0.242
'0:06.188',0.447,0.653,0.207,-0.550,0.120,0.430,0.231,0.034,0.579,0.319,-0.140,-0.101,-0.097,0.299,-0.248
'0:06.189',0.445,0.639,0.195,-0.541,0.124,0.417,0.219,0.022,0.570,0.314,-0.145,-0.100,-0.091,0.295,-0.247
'0:06.190',0.447,0.644,0.198,-0.545,0.125,0.420,0.229,0.029,0.577,0.316,-0.145,-0.111,-0.101,0.302,-0.251
'0:06.191',0.465,0.663,0.199,-0.564,0.133,0.431,0.234,0.034,0.580,0.320,-0.141,-0.103,-0.097,0.297,-0.247
'0:06.192',0.478,0.660,0.183,-0.570,0.147,0.422,0.228,0.028,0.576,0.315,-0.145,-0.101,-0.086,0.301,-0.242
'0:06.193',0.467,0.660,0.194,-0.564,0.137,0.427,0.232,0.025,0.579,0.317,-0.142,-0.102,-0.091,0.301,-0.246
'0:06.194',0.455,0.660,0.205,-0.557,0.125,0.432,0.232,0.026,0.580,0.319,-0.140,-0.102,-0.092,0.298,-0.242
'0:06.195',0.471,0.667,0.196,-0.569,0.138,0.431,0.237,0.037,0.583,0.321,-0.138,-0.095,-0.090,0.293,-0.250
'0:06.196',0.473,0.670,0.198,-0.572,0.138,0.434,0.234,0.030,0.580,0.318,-0.139,-0.100,-0.090,0.293,-0.249
'0:06.197',0.459,0.657,0.199,-0.558,0.131,0.428,0.227,0.021,0.577,0.312,-0.145,-0.111,-0.090,0.295,-0.244
'0:06.198',0.454,0.655,0.202,-0.554,0.126,0.428,0.224,0.022,0.580,0.317,-0.142,-0.103,-0.091,0.286,-0.246
'0:06.199',0.444,0.650,0.206,-0.547,0.118,0.428,0.229,0.026,0.581,0.317,-0.140,-0.099,-0.087,0.291,-0.242
'0:06.200',0.449,0.652,0.204,-0.550,0.122,0.428,0.240,0.029,0.579,0.317,-0.140,-0.095,-0.091,0.300,-0.249
'0:06.201',0.456,0.655,0.200,-0.555,0.128,0.427,0.225,0.018,0.577,0.314,-0.142,-0.107,-0.098,0.301,-0.243
'0:06.202',0.451,0.643,0.194,-0.547,0.129,0.418,0.223,0.020,0.571,0.304,-0.151,-0.117,-0.101,0.301,-0.236
'0:06.203',0.458,0.655,0.198,-0.556,0.130,0.426,0.240,0.030,0.576,0.308,-0.144,-0.103,-0.098,0.299,-0.244
'0:06.204',0.448,0.648,0.201,-0.548,0.123,0.425,0.240,0.028,0.578,0.309,-0.142,-0.100,-0.094,0.300,-0.241
'0:06.205',0.445,0.643,0.199,-0.544,0.123,0.421,0.234,0.025,0.576,0.305,-0.145,-0.106,-0.097,0.299,-0.241
'0:06.206',0.446,0.643,0.198,-0.545,0.124,0.421,0.235,0.025,0.577,0.307,-0.144,-0.109,-0.101,0.296,-0.243
'0:06.207',0.448,0.645,0.198,-0.546,0.124,0.421,0.233,0.021,0.576,0.310,-0.144,-0.108,-0.107,0.292,-0.242
'0:06.208',0.447,0.643,0.198,-0.545,0.125,0.420,0.232,0.023,0.577,0.310,-0.143,-0.106,-0.102,0.300,-0.244
'0:06.209',0.441,0.634,0.194,-0.537,0.123,0.414,0.233,0.029,0.572,0.302,-0.148,-0.109,-0.097,0.304,-0.237
'0:06.210',0.446,0.641,0.197,-0.543,0.124,0.419,0.229,0.026,0.567,0.299,-0.151,-0.114,-0.102,0.299,-0.238
'0:06.211',0.445,0.643,0.200,-0.544,0.122,0.421,0.229,0.025,0.568,0.300,-0.149,-0.111,-0.111,0.304,-0.248
'0:06.212',0.455,0.656,0.202,-0.555,0.127,0.429,0.233,0.026,0.574,0.309,-0.141,-0.104,-0.116,0.307,-0.249
'0:06.213',0.463,0.657,0.195,-0.560,0.134,0.426,0.234,0.028,0.577,0.314,-0.137,-0.102,-0.092,0.295,-0.236
'0:06.214',0.457,0.646,0.190,-0.551,0.134,0.418,0.230,0.026,0.578,0.313,-0.135,-0.097,-0.080,0.296,-0.240
'0:06.215',0.457,0.652,0.196,-0.554,0.130,0.424,0.241,0.039,0.587,0.321,-0.130,-0.098,-0.093,0.304,-0.248
'0:06.216',0.463,0.657,0.194,-0.560,0.135,0.425,0.237,0.036,0.580,0.315,-0.137,-0.107,-0.093,0.286,-0.238
'0:06.217',0.457,0.648,0.192,-0.552,0.133,0.420,0.234,0.022,0.570,0.308,-0.142,-0.110,-0.097,0.285,-0.243
'0:06.218',0.459,0.647,0.189,-0.553,0.136,0.418,0.232,0.021,0.573,0.310,-0.142,-0.106,-0.097,0.287,-0.243
'0:06.219',0.470,0.651,0.182,-0.560,0.144,0.416,0.226,0.025,0.573,0.305,-0.147,-0.108,-0.095,0.290,-0.245
'0:06.220',0.470,0.648,0.179,-0.559,0.145,0.414,0.228,0.027,0.570,0.300,-0.155,-0.113,-0.102,0.286,-0.247
'0:06.221',0.460,0.647,0.188,-0.553,0.136,0.417,0.224,0.025,0.571,0.301,-0.152,-0.108,-0.097,0.276,-0.241
